scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
23,Abu Dharr al-Ghaffari,( جندب بن جنادة أبو ذر الغفاري ( رضي الله عنه,Comp.(RA) [1st Generation],590,652,"Hijaz, Medina, Syria, Al-Rabathah","19, 17, 18253, 11341, 4026, 4097, 11112, 10695, 15165, 10694, 11382, 5152, 11609, 11027, 10883, 11113, 11114, 11397, 11405, 4087, 10858, 11337, 11334, 10867, 19856, 11196, 10866, 11020, 11044",1
24,Bilal ibn Ribah al-Habashi,( بلال بن رباح الحبشي المؤذن ( رضي الله عنه,Comp.(RA) [1st Generation],580,643,"Makkah, Medina, Syria","2, 3, 50, 4052, 18, 400, 5144, 11113, 11027, 11196, 3680, 11046",1
25,Ammar ibn Yasir (?Ammar ibn Yasir ibn ?Amir al-?Ansi),( عمار بن ياسر بن عامر ( رضي الله عنه,Comp.(RA) [1st Generation],566,657,"Makkah, Medina, kufah","18946, 5, 18, 34, 38, 17, 41, 5133, 108, 3660, 4145, 11353, 11354, 4046, 11609, 11400, 5375, 15950, 10600, 19064, 11003","1, 145"
26,Abd Allah ibn Jahsh,( عبد الله بن جحش بن رياب ( رضي الله عنه,Comp.(RA),586,625,"Makkah, Medina",,1
27,Mu'awiya ibn Abu Sufyan,( معاوية بن أبي سفيان ( رضي الله عنه,Comp.(RA) [1st Generation],610,622,"Makkah, Medina, Syria, Egypt","4057, 3048, 17, 398, 1798, 405, 11027, 11002, 11046, 11313, 10561, 11058","1, 2, 3, 59"
28,Amr bin al-'Aas,( عمرو بن العاص بن وائل ( رضي الله عنه,Comp.(RA) [1st Generation],573,622,"Makkah, Medinah, Egypt, Syria","29, 11452, 11046, 11113, 10870, 10867, 10511, 11221, 19817","1, 53"
29,?Abd Allah ibn ?Amr ibn al-?As (Abu Mu?ammad),( عبد الله بن عمرو بن العاص ( رضي الله عنه,Comp.(RA) [1st Generation],595,684,"Makkah, Medina, Egypt, Syria, Ta'if","19, 405, 912, 11018, 11002, 4097, 11677, 11332, 10561, 11337, 11342, 11246, 11510, 18924","1, 2, 3, 8, 32, 37, 471"
30,Hassan ibn Ali bin Abi Talib,( الحسن بن علي بن أﺑﻲ طالب ( رضي الله عنه,Comp.(RA) [1st Generation],625,622,"Medinah, Kufa","18183, 53, 19845, 11442, 18547, 4097, 11023, 11035, 11313, 19883","1, 5, 63, 31, 490"
31,Hussain ibn 'Ali ibn Abi Talib,( حسين بن علي بن أﺑﻲ طالب ( رضي الله عنه,Comp.(RA) [1st Generation],626,682,"Medinah, Kufa, Makkah","30, 11045, 19506, 15816, 11442, 11052, 11023, 11511, 10933","1, 5, 63, 3, 3670"
32,Mu'adh ibn Jabal,( معاذ بن جبل بن عمرو بن أوس ( رضي الله عنه,Comp.(RA) [1st Generation],603,639,"Medinah, Yemen, Makkah, Palestine, Syria","17, 41, 29, 18, 955, 5115, 19, 34, 3660, 5152, 11026, 19310, 11353, 11018, 169, 11620, 11054, 11046, 11382, 11722, 3640, 11027, 19921, 19302, 11020, 11196",1
33,Abu Ayyub al-Ansari,( أبو أيوب الأنصاري خالد بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],576,670,"Medinah, Iraq, Egypt","400, 393, 3625, 17, 1945","1, 39"
34,Jabir ibn 'Abdullah,( جابر بن عبد الله بن عمرو السلمي الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],607,622,"Medinah, Baghdad, Egypt, Damascus","11192, 12366, 11192, 11002, 1830, 11263, 11081, 11442, 11085, 11048, 10721, 11231, 11510, 11156, 11167, 11342, 11556, 11016, 11161, 11169, 11856, 11103, 11052, 1131, 1134, 10938, 11521, 11029, 10511, 11028, 10612, 11665","1, 1, 2, 3, 5, 10, 6, 32, 25, 22, 1820, 391, 13, 38, 1048, 1457, 187, 1399, 1293, 10500"
35,Sa'd ibn 'Ubadah,( سعد بن عبادة بن دليم ( رضي الله عنه,Comp.(RA) [1st Generation],570,636,"Medinah, Syria","157, 158, 172, 17, 11002, 15659, 11016, 18839",1
36,Sa'd ibn ar-Rabi',( سعد بن الربيع بن عمرو بن أبي زهير ( رضي الله عنه,Comp.(RA),586,625,Medinah,,1
37,Abu al-Darda ('Uwaymir ibn Malik al-Khazraji),( أبو الدرداء عويمر بن زيد بن قيس الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],570,652,"Medina, Syria","87, 18090, 1935, 10878, 11027, 11237, 19237, 11348, 10567, 4097, 11174, 11341, 10920, 11017, 17054, 11002, 19921, 19940, 11035, 11221, 10835","1, 53, 49"
38,Abu Sa'id al-Khudri (Sa'd ibn Malik ibn Sinan),( أبو سعيد سعد بن مالك بن سنان الخدري ( رضي الله عنه,Comp.(RA) [1st Generation],612,694,Medina,"11879, 3154, 17, 18, 34, 49, 15659, 1830, 11002, 3680, 3660, 11029, 11020, 11206, 11260, 11829, 17107, 10752, 11420, 10561, 10567, 10762, 11694, 10554, 2230, 11167, 11253, 11598, 11366, 11202, 11514, 11877, 11259, 11603, 11023, 1544, 11302, 11036, 11014, 11232, 11028, 11442, 11212, 10938, 11113, 11451, 11161, 11297, 10721, 13429, 18767","1, 1, 42, 233, 2, 3, 4, 5, 49, 391, 103, 45, 17, 41, 27, 34"
39,Ubayy ibn Ka'b (Abu Mundhir),( أبي بن كعب بن قيس ( رضي الله عنه,Comp.(RA) [1st Generation],586,649,Medinah,"3, 13, 3319, 17, 33, 383, 399, 41, 1220, 1221, 1222, 136, 90, 118",1
40,'Ubada bin As-Samit,( عبادة بن الصامت بن قيس بن أصرم ( رضي الله عنه,Comp.(RA) [1st Generation],583,654,"Makkah, Medinah, Palestine, Syria","631, 19161, 12201, 18030, 19, 34, 323, 722, 5071, 4048, 5152, 1935, 5278",1
41,Abu Musa al-Asha'ari (?Abd Allah ibn Qays al-Ash?ari),( أبو موسى الأشعري ( رضي الله عنه,Comp.(RA) [1st Generation],600,662,"Yemen, Makkah, Medina, Basra, Kufa","409, 11900, 11901, 11902, 5392, 19, 38, 3680, 11359, 11337, 11341, 11259, 10805, 11114, 11002, 11113, 11046, 11226, 15681, 18984, 11660, 11391, 10676, 11334, 11589, 11353, 11693, 11054, 11055","1, 2, 3, 5, 17, 39, 25, 32"
42,Malik ibn Sinan al-Khudri,( مالك بن سنان بن عبيد بن ثعلبة الأنصاري ( رضي الله عنه,Comp.(RA),580,625,Medina,,1
43,Nawfal bin Mu'awiyah al-Dayli,( نوفل بن معاوية بن عروة الديلي ( رضي الله عنه,Comp.(RA) [1st Generation],623,683,"Makkah, Medina","11820, 11204, 11717, 11003","1, 1"
44,al-Hubab ibn al-Mundhir,( الحباب بن المنذر بن الجموح بن زيد ( رضي الله عنه,Comp.(RA),0,622,Medina,,1
45,Usaid bin Hudair bin Sammak,( أسيد بن الحضير بن سماك ( رضي الله عنه,Comp.(RA) [1st Generation],0,642,Medinah,"38, 19, 1937, 390, 53, 11196, 11213, 15097",1
46,Sa'd ibn Mua'dh,( سعد بن معاذ بن النعمان ( رضي الله عنه,Comp.(RA) [1st Generation],0,627,Medinah,,1
47,'Abdullah bin Zayd,( عبد الله بن زيد بن ثعلبة ( رضي الله عنه,Comp.(RA) [1st Generation],0,654,Medinah,"10615, 12245, 11002, 11196, 11239","1, 4"
48,'Abdullah ibn Rawaha,( عبد الله بن رواحة ( رضي الله عنه,Comp.(RA) [1st Generation],0,630,Medinah,"274, 13, 17, 19, 11196, 11046, 10511, 11020, 11163, 11023, 10990, 10567","1, 24"
49,Zayd ibn Thabit,( زيد بن ثابت بن الضحاك بن زيد ( رضي الله عنه,Comp.(RA) [1st Generation],613,622,Medina,"13, 17, 18, 38, 19, 858, 11002, 11006, 11007, 11005, 11008, 10535, 10511, 10582","1, 2, 3, 4"
50,Usamah ibn Zayd,( أسامة بن زيد بن حارثة ( رضي الله عنه,Comp.(RA) [1st Generation],623,675,"Makkah, Medinah","12446, 12052, 17, 13, 10511, 11113, 10581, 11353, 10554, 10511, 11016, 18293","1, 15, 56"
51,Khadijah,( خديجة بنت خويلد ( رضي الله عنها,Comp.(RA),553,620,Makkah,,1
52,Sawda bint Zam'a,( سودة بنت زمعة ( رضي الله عنها,Comp.(RA) [1st Generation],623,676,"Makkah, Abyssinia, Medinah","17, 10633","1, 1"
53,'Aisha bint Abi Bakr,( أمّ المؤمنين عائشة بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],614,678,"Makkah, Medina","70, 106, 13, 17, 18, 41, 28, 10535, 10511, 10520, 10521, 10522, 11002","1, 2, 3, 6, 9, 63, 961"
54,Hafsa bint Umar,( حفصة بنت عمر بن الخطاب أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],609,662,"Makkah, Medina","18, 11818, 11811, 1293, 5295, 4109, 10773, 487, 18400, 448, 11394, 11313","1, 3"
55,Zaynab bint Khazeemah,( زينب بنت خزيمة ( رضي الله عنها,Comp.(RA),597,626,"Makkah, Medina",,1
56,Umm Salamah,( أم سلمة بنت أبي أمية ( رضي الله عنها,Comp.(RA) [1st Generation],623,683,"Makkah, Medina","244, 246, 2086, 19824, 11005, 10511, 19004, 11864, 19067, 438, 19466, 10737, 50, 11734, 2808, 11113, 10561, 10567, 11002, 11353, 11052, 107, 448, 11030, 11003, 11211, 5232, 11014, 13144",1
57,Zaynab bint Jahsh,( زينب بنت جحش الأسدية أم المؤمنين ( رضي الله عنها,Comp.(RA) [1st Generation],593,642,"Makkah, Medina","244, 59, 413, 18881",1
58,Juwayriya bint al-Harith,( جويرية بنت الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],623,622,Medinah,"17, 11203, 11730, 11028, 11211, 18881, 169",1
59,Umm Habibah bint Abi Sufyan,"( أم حبيبة ,رملة بنت أبي سفيان ( رضي الله عنها",Comp.(RA) [1st Generation],589,622,"Makkah, Abyssinia, Medina","27, 139, 244, 10511, 11716, 12236","1, 57"
60,Safiyya bint Huyayy,( صفية بنت حيي بن أخطب ( رضي الله عنها,Comp.(RA) [1st Generation],610,622,Medinah,"19441, 18885, 11045, 18989, 19898",1
61,Maymuna bint al-Harith,( ميمونة بنت الحارث بن حزن الهلالية ( رضي الله عنها,Comp.(RA) [1st Generation],603,682,"Makkah, Medina",17,"1, 1"
62,Maria al-Qibtiyya,( مارية القبطية أم ولد ( رضي الله عنها,Comp.(RA),0,622,"Egypt, Medinah",,1
63,Fatima bint Muhammad,( فاطمة الزهراء بنت محمد بن عبد الله ( رضي الله عنها,Comp.(RA) [1st Generation],607,633,"Makkah, Medina","30, 31, 5, 53, 56, 19, 171",1
64,Liala bint Abi Hathmah,( ليلى بنت أبي خثمة بن حذيفة ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Abyssinia, Medinah",,1
65,Sehlah bint Suhayl,( سهلة بنت سهيل بن عمرو ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Abyssinia, Medinah",,1
66,al-Khansa,( خنساء/ تماضر بنت عمرو ( رضي الله عنها,Comp.(RA),0,646,Medina,,1
67,al-Nahdiya,( النهدية ( رضي الله عنها,Comp.(RA),0,0,"Makkah,  Medinah",,1
68,Arwa bint al-Harith,( أروى بنت الحارث ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
69,Asma bint 'Umays,( أسماء بنت عميس بن معد ( رضي الله عنها,Comp.(RA) [1st Generation],0,622,"Makkah, Medina, Abyssinia","108, 10535, 17","1, 1"
70,Asma' bint Abi Bakr,( أسماء بنت أبي بكر الصديق ( رضي الله عنها,Comp.(RA) [1st Generation],596,693,"Makkah, Medina","106, 10511, 11250, 11699, 10926, 10526, 11188, 11231, 2802, 18",1
71,Umm Atiyyah Ansariyah,( أم عطية الأنصارية ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,"Medina,  Basra","19, 11035, 11039, 11368, 18043, 11375, 19549","1, 3"
72,Hamnah bint Jahsh,( حمنة بنت جحش الأسدية ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,"Makkah, Medina",,1
73,Hind bint Awf,( هند / خولة بنت عوف بن زهير ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
74,Hind bint 'Utba b. Rabi'a b. 'Abd Shams,( هند بنت عتبة بن ربيعة بن عبد شمس ( رضي الله عنها,Comp.(RA),0,622,"Makkah, Medinah",,1
75,Ruqayqa bint Abi Sayfi bin Hashim,( رقيقة بنت أبي صيفي بن هاشم ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
76,Khawlah bint Hakim,( خولة بنت حكيم بن أمية ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,"Makkah, Medina","9, 11002, 10511, 11010, 11222",1
77,Fatima bint Asad,( فاطمة بنت أسد بن هاشم بن عبد مناف ( رضي الله عنها,Comp.(RA),558,626,"Makkah, Medina",,1
78,Fatima bint al-Khattab,( فاطمة بنت الخطاب بن نفيل القرشية العدوية ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
79,Umm 'Ammarah Nasaybah,"( نسيبة بنت كعب ,أم عمارة ( رضي الله عنها",Comp.(RA) [1st Generation],0,0,"Medina, Basra","639, 11023",1
80,Najiyah/'Atika/Fakhta bint al-Walid,( ناجية/عاتكة/فاختة بنت الوليد بن المغيرة ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
81,Qaraybah bint Abi Umayyah al-Sugra,( قريبة بنت أبي أمية ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
82,Faree'ah bint Malik,( فريعة بنت مالك بن سنان ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,Medina,3154,1
83,Umm Sulaym bint Milhan,( أم سليم بنت ملحان ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,Medinah,"19, 17, 12401, 10567","1, 1"
84,Asma' bint Yazid bin al-Sakan,( أسماء بنت يزيد بن السكن ( رضي الله عنها,Comp.(RA) [1st Generation],0,622,"Medina, Damascus","12498, 11044, 17066",1
85,Safiyya bint ‘Abd al-Muttalib,( صفية بنت عبد المطلب بن هاشم ( رضي الله عنها,Comp.(RA),623,640,"Makkah, Medina",,1
86,Salma bint 'Umays,( سلمى بنت عميس بن معد ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
87,Umm al-Darda,( خيرة بنت أبي حدرد أم الدرداء ( رضي الله عنها,Comp.(RA),0,655,"Medina, Syria",,1
88,Sirin,( سيرين أم ولد حسان بن ثابت ( رضي الله عنها,Comp.(RA),0,0,"Egypt, Medinah",,1
89,Sumayyah bint Khayyat,( سمية بنت خباط ( رضي الله عنها,Comp.(RA),0,616,Makkah,,1
90,Thuwaybah,( ثويبة ( رضي الله عنها,Comp.(RA),0,629,"Makkah, Medina",,1
91,Umm Ruman,( أم رومان زينب بنت عامر ( رضي الله عنها,Comp.(RA) [1st Generation],586,622,"Sarat,  Makkah,  Madina",,1
92,Umamah bint Zainab,( أمامة بنت أبي العاص بن الربيع ( رضي الله عنها,Comp.(RA),0,686,"Makkah, Medina, Kufa",,1
93,Umm Hakim,( أم حكيم بنت الحارث بن هشام بن المغيرة ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina, Syria",,1
94,Umm Kulthum bint Muhammad,( أم كلثوم بنت سيد البشر رسول الله ( رضي الله عنها,Comp.(RA),0,631,"Makkah, Medinah",,1
95,Umm Kulthum bint 'Uqba,( أم كلثوم بنت عقبة بن أبي معيط ( رضي الله عنها,Comp.(RA) [3rd Generation],0,0,"Makkah, Medina","10560, 10561, 10562","1, 861"
96,Asma bint Sa'id bin Zayd,( أسماء بنت سعيد بن زيد ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,"Makkah, Medina, Kufa",,"1, 11"
97,Zaynab bint Muhammad,( زينب بنت سيد ولد آدم محمد بن عبد الله ( رضي الله عنها,Comp.(RA),598,630,"Makkah, Medina",,1
98,Zaynab bint 'Ali bin Abi Talib,( زينب بنت على بن أبي طالب ( رضي الله عنها,Comp.(RA),627,684,"Medinah, Kufa",,1
99,Umm Kulthum bint 'Ali bin Abi Talib,( أم كلثوم بنت علي بن أبي طالب ( رضي الله عنها,Comp.(RA),629,0,Medinah,,1
100,al-'Abbas ibn 'Abd al-Muttalib,( العباس بن عبد المطلب بن هاشم ( رضي الله عنه,Comp.(RA) [1st Generation],566,654,"Makkah, Medina","17, 133, 524, 5030, 11112, 11059, 10554, 912, 10646, 11221",1
101,Abu Salamah,( عبد الله بن عبد الأسد أبو سلمة ( رضي الله عنه,Comp.(RA) [1st Generation],0,626,"Makkah, Abyssinia, Medinah",56,1
102,Ruqayyah bint Muhammad,( رقية بنت محمد بن عبد الله ( رضي الله عنها,Comp.(RA),598,624,"Makkah, Abyssinia, Medinah",,1
103,'Abdullah bin Saalam,( عبد الله بن سلام بن الحارث أبو يوسف ( رضي الله عنه,Comp.(RA) [1st Generation],0,664,Medina,"6447, 5335, 28139, 1716, 10805, 13, 4026, 11609, 11901, 11212, 1503, 11020",1
104,Hadrad bin Abi Hadrad al-Aslami,( حدرد بن أبي حدرد ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,Medina,10605,1
105,'Abdullah bin Abi Hadrad al-Aslami,( عبد الله بن أبي حدرد ( رضي الله عنه,Comp.(RA),0,622,Medina,,"1, 2, 3"
106,'Abdullah ibn al-Zubayr,( عبد الله بن الزبير بن العوام ( رضي الله عنه,Comp.(RA) [1st Generation],623,693,"Medinah, Makkah","13769, 13930, 18256, 11178, 11250, 16836, 19554, 10511","1, 7, 2, 3, 4, 5, 53, 5065"
107,'Abdur Rahman bin Abi Bakr,( عبد الرحمن بن أبي بكر الصديق ( رضي الله عنه,Comp.(RA) [1st Generation],0,622,"Makkah, Medina","10520, 10521, 10535, 11437, 11113, 19823, 11196, 11090","1, 2"
108,'Abdullah ibn Ja'far,( عبد الله بن جعفر بن أبي طالب ( رضي الله عنه,Comp.(RA) [1st Generation],622,622,"Abyssinia,  Medina,  Kufa","18041, 18023, 19017, 19534, 10535, 10511, 11010, 19534, 169, 18183, 12246, 11442, 10754, 19830, 11063, 11308, 11090","1, 5, 4, 25, 69"
109,Bukayr bin Shaddakh al-Laithi,( بكير - بكر بن الشداخ الليثي ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medina",,1
110,'Abdullah bin Abi Bakr,( عبد الله بن أبي بكر ( رضي الله عنه,Comp.(RA),0,622,"Makkah, Medina",,1
111,"Abu Dujana, Simak bin Aus bin Kharasha",( سماك بن خرشة أبو دجانة الأنصاري ( رضي الله عنه,Comp.(RA),0,634,Medinah,,1
112,al-Mundhir bin 'Amr b. Khunays,( المنذر بن عمرو بن خنيس ( رضي الله عنه,Comp.(RA),0,626,Medinah,,1
113,Abu Usayd Malik bin Rabi'a,( مالك بن ربيعة أبو أسيد الساعدي الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],0,681,"Medinah, Basra","19, 10567, 1461, 1463, 1462, 11689, 12372, 11697, 11885",1
114,Zayd ibn al-Khattab,( زيد بن الخطاب بن نفيل العدوي ( رضي الله عنه,Comp.(RA) [1st Generation],0,634,"Makkah, Medina",,1
115,Abu Lubaba bin 'Abdul Mundhir,( أبو لبابة بن عبد المنذر ( رضي الله عنه,Comp.(RA) [1st Generation],0,622,Medina,"1708, 18, 11011, 11014, 1131, 20395, 11258","1, 3"
116,Abu Sufyan ibn Harb,( صخر بن حرب أبو سفيان ( رضي الله عنه,Comp.(RA) [1st Generation],560,622,"Makkah, Medinah","27, 11046",1
117,Abu Sufyan ibn al-Harith,( أبو سفيان بن الحارث بن عبد المطلب ( رضي الله عنه,Comp.(RA),0,636,"Makkah, Medina",,1
118,Ja'far ibn Abi Sufyan,( ‎جعفر بن أبي سفيان بن الحارث ( رضي الله عنه,Comp.(RA),0,622,"Makkah, Medina, Damascus",,1
119,Abu al-'Aas ibn al-Rabiah,( أبو العاص بن الربيع ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medina",,1
120,Abu Hudhayfah ibn 'Utbah,( أبو حذيفة بن عتبة بن ربيعة بن عبد شمس ( رضي الله عنه,Comp.(RA),0,634,"Makkah, Abyssinia, Medinah",,1
121,'Uthman bin Maz'un,( عثمان بن مظعون ( رضي الله عنه,Comp.(RA),0,625,"Makkah, Abyssinia, Medinah",,1
122,'Abdullah bin Maz'un,( عبد الله بن مظعون الجمحي ( رضي الله عنه,Comp.(RA),623,652,"Makkah, Abyssinia, Medinah",,1
123,'Imran bin Husain,( عمران بن حصين ( رضي الله عنه,Comp.(RA) [1st Generation],0,674,"Makkah, Medina, Kufa, Basra","19073, 11114, 11440, 11334, 11305, 11318, 10677, 11589, 11693, 11865, 11432, 11035, 11016, 10735, 11617, 10736, 11284, 10721","1, 3120"
124,Zaynab bint Maz'un,( زينب بنت مظعون بن حبيب الجمحية ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
125,Umm Waraqa bint 'Abdullah,( أم ورقة بنت عبد الله بن الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,Medina,,1
126,Zinira,( زنيرة ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medinah",,1
127,'Abdur Rahman ibn Shaddad,( عبد الرحمن بن شداد الليثي ( رضي الله عنه,Comp.(RA),0,0,Medinah,,1
128,Qutham ibn al-'Abbas,( قثم بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],0,622,"Makkah, Medina, Samarqand",11049,"1, 5, 135"
130,Thawban bin Bujdud,( ثوبان مولى رسول الله صلى الله عليه وسلم ( رضي الله عنه,Comp.(RA) [1st Generation],0,675,"Makkah, Medina, as-Surat, Syria, Hims","10883, 10878, 18410, 19909, 4097, 5152, 18561, 11027","1, 1"
131,'Abdullah,('Abd Rabb) bin Haq ( عبد الله (عبد رب) بن حق بن أوس ( رضي الله عنه,Comp.(RA),0,0,Medinah,,1
132,Bashir ibn Sa'd,( بشير بن سعد بن ثعلبة ( رضي الله عنه,Comp.(RA) [1st Generation],0,634,Medina,"274, 11538, 10561, 10511",1
133,'Ubaydallah bin al-'Abbas,( عبيد الله بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],621,686,"Makkah, Medina","11434, 11005, 11029, 11035","1, 100"
134,Amina bint 'Amr bin Harb,( آمنة بنت عمرو بن حرب ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medinah",,1
135,Fadl ibn al-'Abbas,( الفضل بن العباس بن عبد المطلب ( رضي الله عنه,Comp.(RA) [1st Generation],0,640,"Makkah, Medina","17, 13, 11005, 128, 174, 18496, 11532, 5273, 11211, 11052, 11029","1, 1"
136,Umm Habib bint Jahsh,( أم حبيبة بنت جحش ( رضي الله عنها,Comp.(RA) [4th generation],0,665,"Makkah, Medina",,1
137,Jariyya bint 'Amr bin Mu'mil,( جارية بنت عمرو بن المؤمل ( رضي الله عنها,Comp.(RA),0,0,"Makkah,  Medinah",,1
138,Damra bin Ka'b bin 'Amr,( ضمرة بن كعب بن عمرو ( رضي الله عنه,Comp.(RA),0,625,Medinah,,1
139,Habibah bint Ubayd-Allah,( حبيبة بنت أم حبيبة بنت أبي سفيان ( رضي الله عنها,Comp.(RA) [1st Generation],0,0,"Abyssinia, Medinah",,1
140,'Abdullah bin Abi Umayyah,( عبد الله بن أبي أمية المخزومي ( رضي الله عنه,Comp.(RA),0,630,"Makkah, Medina",,1
141,Lubaba,(Sughra) bint al-Harith ( لبابة (الصغرى) بنت الحارث ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina",,1
142,Ziyad bin Ka'b bin 'Amr,( زياد بن كعب بن عمرو ( رضي الله عنه,Comp.(RA),0,0,Medinah,,1
143,Muhammad bin Abu Hudhayfah ibn 'Utbah,( محمد بن أبي حذيفة بن عتبة ( رضي الله عنه,Comp.(RA),0,0,"Abyssinia, Makkah, Medinah, Egypt",,1
144,Hisham ibn al-'Aas,( هشام بن العاصي بن وائل ( رضي الله عنه,Comp.(RA),0,634,"Makkah, Abyssinia, Medina",,1
145,Hudhayfah ibn al-Yaman (Hudhayfah ibn al-Yaman al-?Abasi),( حذيفة بن اليمان ( رضي الله عنه,Comp.(RA) [1st Generation],586,656,"Makkah, Medina, Kufa","15680, 15789","1, 3, 34"
146,Buzay'a bint Abi Kharija bin Aws,( بزيعة بنت أبي خارجة بن أوس ( رضي الله عنها,Comp.(RA),0,0,Medina,,1
147,Ikrimah ibn Abi Jahl,( عكرمة بن أبي جهل ( رضي الله عنه,Comp.(RA) [1st Generation],0,635,"Makkah, Yemen, Syria",,1
148,Nu'man bin Malik,( النعمان بن مالك بن ثعلبة بن دعد ( رضي الله عنه,Comp.(RA),0,625,Medina,,1
149,Khabbab ibn al-Aratt,( خباب بن الأرت ( رضي الله عنه,Comp.(RA) [1st Generation],0,658,"Makkah, Medina, Kufa","4048, 2230, 5130, 11046, 11018, 11017, 11353, 19801, 15691, 15692, 11052",1
150,Khalid bin Sa`id ibn al-'As,( خالد بن سعيد بن العاص بن أمية ( رضي الله عنه,Comp.(RA),0,622,"Makkah, Abyssinia, Medinah, Syria",740,1
151,Shaddad ibn al-Haad,( شداد بن الهاد الليثي ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,"Makkah, Medina, Kufa","169, 10647, 11827","1, 16"
152,Khunays ibn Hudhaifa,( خنيس بن حذافة بن قيس ( رضي الله عنه,Comp.(RA),0,625,"Makkah, Abyssinia, Medinah",,1
153,Mandwas bint 'Ubada b. Dulaim,( مندوس بنت عبادة بن دليم الأنصارية ( رضي الله عنها,Comp.(RA),0,0,Medinah,,1
154,Layla bint 'Ubada b. Dulaim,( ليلى بنت عبادة الأنصارية الساعدية ( رضي الله عنها,Comp.(RA),0,0,Medinah,,1
155,Fukayha bint 'Ubayd b. Dulaim,( فكيهة بنت عبيد بن دليم الأنصارية ( رضي الله عنها,Comp.(RA),0,0,Medinah,,1
156,Umm Fadl Lubaba bint al-Harith,( أم الفضل لبابة بنت الحارث ( رضي الله عنها,Comp.(RA) [1st Generation],0,622,"Makkah, Medina","17, 527, 11532, 19, 15453, 912, 11211",1
157,Sa'id bin Sa'd ibn 'Ubadah,( سعيد بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [1st Generation],0,0,"Medinah, Syria",405,"1, 1, 35"
158,Ishaq bin Sa'd ibn 'Ubadah,( إسحاق بن سعد بن عبادة الأنصاري ( رضي الله عنه,Comp.(RA) [2nd Generation],0,0,Medinah,12148,"1, 35"
160,al-Furay'a bint Malik bin al-Dukhsham,( الفريعة بنت مالك بن الدخشم ( رضي الله عنها,Comp.(RA),0,0,Medinah,,1
161,Qurratu'l-'Ayn bint 'Ubada bin Nadla,( قرة العين بنت عبادة بن نضلة ( رضي الله عنها,Comp.(RA),0,0,Medinah,,1
162,al-Fa'rah bint Abi Sufyan,( الفارعة بنت أبي سفيان بن حرب ( رضي الله عنها,Comp.(RA),0,0,"Makkah, Medina, Abyssinia",,1
163,al-Miqdad ibn al-Aswad (al-Miqdad ibn ?Amr al-Bahrani),( المقداد بن الأسود الكندي ( رضي الله عنه,Comp.(RA) [1st Generation],586,654,"Makkah, Medina, Abyssinia","5, 19, 880, 11400, 11005, 10915, 11196, 4097, 11895, 11116","1, 1"
164,Talib ibn Abi Talib,( طالب بن ابي طالب ( رضي الله عنه,Comp.(RA),0,0,"Makkah, Medina",,1
165,'Aqeel ibn Abi Talib,( عقيل بن أبي طالب ( رضي الله عنه,Comp.(RA) [1st Generation],590,622,"Makkah, Medina, Kufa","18938, 12246, 11029, 11161, 579, 11016, 11443",1
