scholar_index,name_letters,name_arabic,grade,birth_greg,death_greg,places_of_stay,students_index,teachers_index
11662,Wabra bin 'Abdur Rahman al-Musli,وبرة بن عبد الرحمن المسلي,Follower(Tabi') [4th generation],0,735,al-Kufa,"11326, 11049, 11060, 15429, 20359","17, 18, 3660, 11178, 11052, 11050, 11400"
11663,al-Walid bin al-Yzar bin Hryth ا,لوليد بن العيزار بن حريث العبدي الكوفي,Follower(Tabi') [5th generation],0,0,al-Kufa,"10846, 20358, 20311, 20724, 20020","10808, 19, 11023, 11343"
11664,Yahya bin Wathab,يحيى بن وثاب,Follower(Tabi') [4th generation],0,722,al-Kufa,"11049, 11352, 11052, 11019, 11350, 11356, 11371, 11060, 11331","18, 17, 11337, 11017, 53"
11665,Yazid bin S'hyb,يزيد بن صهيب,Follower(Tabi') [4th generation],0,0,al-Kufa,"11429, 11069, 20600, 20359, 20724, 11001, 20601, 11060, 20646","34, 38, 18"
11666,Yazid bin Mua'wiya al-Nkh'y,يزيد بن معاوية النخعي الكوفي العابد,Follower(Tabi') [2nd Generation],0,0,al-Kufa,,
11667,Ibrahim bin Abi Ablh إ,براهيم بن أبي عبلة,Follower(Tabi') [5th generation],0,770,"Syria, Ramla","20001, 20023, 20025, 11107, 20456, 20738","1211, 19, 11457, 18090"
11668,Nauf bin Fadala,نوف بن فضالة,Follower(Tabi') [2nd Generation],0,0,Syria,"11049, 11044, 15573, 11050, 11296, 18767","5, 33, 130, 29, 4058"
11669,Abu Kabsha al-Saluli,أبو كبشة السلولي,Follower(Tabi') [2nd Generation],0,0,Syria,"10968, 11413, 11414","37, 130, 29, 1824"
11670,Isma'il bin 'Ubaidullah bin Abi Muhajir إ,سماعيل بن عبيد الله بن أبي المهاجر,Follower(Tabi') [4th generation],0,750,Damascus,"11414, 20638, 20639, 20024","19, 5152, 1935, 19058, 17092, 19515, 11457"
11671,Zayd bin Waqd al-Quraishi,زيد بن واقد القرشي,Follower(Tabi') [6th generation],0,0,Damascus,"20398, 20733, 20402, 20744, 20644, 27503, 27517, 27519, 27542","13506, 11066, 17504, 4097, 11302, 19940, 17062"
11672,'Abdul Wahid bin 'Abdullah bin Ka'b,عبد الواحد بن عبد الله بن كعب,Follower(Tabi') [5th generation],0,0,"Damascus, al-Hims","20024, 11684, 19931, 11692, 12279, 10616, 20459","4049, 3650"
11673,Yazid bin Abi Kabsha,يزيد بن أبي كبشة السكسكي الدمشقي,Follower(Tabi') [3rd Generation],0,0,Damascus,"11069, 11375, 11306, 11619",
